Date,Energy Source,Renewable Generation
2020-01-01,Biomass,32.654
2020-01-01,Geothermal,15.84
2020-01-01,Hydro,93.62
2020-01-01,Photovoltaic,45.509
2020-01-01,Wind,84.467
2020-01-02,Biomass,38.004
2020-01-02,Geothermal,15.67
2020-01-02,Hydro,119.68
2020-01-02,Photovoltaic,45.508
2020-01-02,Wind,62.588
2020-01-03,Biomass,40.578
2020-01-03,Geothermal,15.690000000000001
2020-01-03,Hydro,118.493
2020-01-03,Photovoltaic,35.367
2020-01-03,Wind,32.924
2020-01-04,Biomass,38.22
2020-01-04,Geothermal,16.060000000000002
2020-01-04,Hydro,100.635
2020-01-04,Photovoltaic,34.238
2020-01-04,Wind,54.686
2020-01-05,Biomass,32.791
2020-01-05,Geothermal,16.07
2020-01-05,Hydro,92.932
2020-01-05,Photovoltaic,44.834
2020-01-05,Wind,116.96600000000001
2020-01-06,Biomass,38.595
2020-01-06,Geothermal,15.780000000000001
2020-01-06,Hydro,116.495
2020-01-06,Photovoltaic,43.742
2020-01-06,Wind,104.624
2020-01-07,Biomass,47.203
2020-01-07,Geothermal,15.98
2020-01-07,Hydro,141.525
2020-01-07,Photovoltaic,32.126
2020-01-07,Wind,61.281
2020-01-08,Biomass,50.969
2020-01-08,Geothermal,15.72
2020-01-08,Hydro,125.928
2020-01-08,Photovoltaic,35.343
2020-01-08,Wind,57.877
2020-01-09,Biomass,53.214
2020-01-09,Geothermal,15.940000000000001
2020-01-09,Hydro,148.993
2020-01-09,Photovoltaic,43.077999999999996
2020-01-09,Wind,18.083
2020-01-10,Biomass,52.945
2020-01-10,Geothermal,16.0
2020-01-10,Hydro,140.632
2020-01-10,Photovoltaic,41.457
2020-01-10,Wind,18.767
2020-01-11,Biomass,45.164
2020-01-11,Geothermal,16.07
2020-01-11,Hydro,92.412
2020-01-11,Photovoltaic,42.284
2020-01-11,Wind,36.812
2020-01-12,Biomass,41.373
2020-01-12,Geothermal,16.02
2020-01-12,Hydro,94.20700000000001
2020-01-12,Photovoltaic,41.811
2020-01-12,Wind,39.471
2020-01-13,Biomass,54.661
2020-01-13,Geothermal,15.99
2020-01-13,Hydro,141.769
2020-01-13,Photovoltaic,36.717
2020-01-13,Wind,10.652
2020-01-14,Biomass,58.211
2020-01-14,Geothermal,15.13
2020-01-14,Hydro,138.506
2020-01-14,Photovoltaic,30.944
2020-01-14,Wind,7.131
2020-01-15,Biomass,58.938
2020-01-15,Geothermal,15.04
2020-01-15,Hydro,129.917
2020-01-15,Photovoltaic,37.386
2020-01-15,Wind,6.609
2020-01-16,Biomass,55.673
2020-01-16,Geothermal,15.870000000000001
2020-01-16,Hydro,116.893
2020-01-16,Photovoltaic,40.836
2020-01-16,Wind,42.422
2020-01-17,Biomass,55.614
2020-01-17,Geothermal,15.99
2020-01-17,Hydro,118.664
2020-01-17,Photovoltaic,45.064
2020-01-17,Wind,34.399
2020-01-18,Biomass,44.201
2020-01-18,Geothermal,15.920000000000002
2020-01-18,Hydro,106.82900000000001
2020-01-18,Photovoltaic,25.406
2020-01-18,Wind,71.109
2020-01-19,Biomass,42.142
2020-01-19,Geothermal,16.080000000000002
2020-01-19,Hydro,69.298
2020-01-19,Photovoltaic,36.544
2020-01-19,Wind,58.072
2020-01-20,Biomass,54.753
2020-01-20,Geothermal,15.74
2020-01-20,Hydro,101.12
2020-01-20,Photovoltaic,33.787
2020-01-20,Wind,101.862
2020-01-21,Biomass,59.269999999999996
2020-01-21,Geothermal,15.610000000000001
2020-01-21,Hydro,115.899
2020-01-21,Photovoltaic,41.507
2020-01-21,Wind,76.758
2020-01-22,Biomass,60.545
2020-01-22,Geothermal,15.690000000000001
2020-01-22,Hydro,132.338
2020-01-22,Photovoltaic,49.678
2020-01-22,Wind,32.782
2020-01-23,Biomass,62.503
2020-01-23,Geothermal,15.58
2020-01-23,Hydro,129.749
2020-01-23,Photovoltaic,49.374
2020-01-23,Wind,33.101
2020-01-24,Biomass,62.302
2020-01-24,Geothermal,15.690000000000001
2020-01-24,Hydro,125.03
2020-01-24,Photovoltaic,35.765
2020-01-24,Wind,42.152
2020-01-25,Biomass,48.977
2020-01-25,Geothermal,15.620000000000001
2020-01-25,Hydro,87.428
2020-01-25,Photovoltaic,25.103
2020-01-25,Wind,40.405
2020-01-26,Biomass,45.105000000000004
2020-01-26,Geothermal,15.82
2020-01-26,Hydro,75.749
2020-01-26,Photovoltaic,27.147
2020-01-26,Wind,17.865
2020-01-27,Biomass,56.124
2020-01-27,Geothermal,15.84
2020-01-27,Hydro,114.288
2020-01-27,Photovoltaic,47.424
2020-01-27,Wind,49.238
2020-01-28,Biomass,55.174
2020-01-28,Geothermal,15.84
2020-01-28,Hydro,105.092
2020-01-28,Photovoltaic,27.895
2020-01-28,Wind,136.17
2020-01-29,Biomass,53.735
2020-01-29,Geothermal,15.84
2020-01-29,Hydro,105.792
2020-01-29,Photovoltaic,51.289
2020-01-29,Wind,122.091
2020-01-30,Biomass,57.054
2020-01-30,Geothermal,15.72
2020-01-30,Hydro,100.331
2020-01-30,Photovoltaic,54.225
2020-01-30,Wind,46.233000000000004
2020-01-31,Biomass,54.17
2020-01-31,Geothermal,15.770000000000001
2020-01-31,Hydro,99.344
2020-01-31,Photovoltaic,34.066
2020-01-31,Wind,64.585
2020-02-01,Biomass,53.697
2020-02-01,Geothermal,15.84
2020-02-01,Hydro,73.449
2020-02-01,Photovoltaic,27.183
2020-02-01,Wind,35.755
2020-02-02,Biomass,41.321
2020-02-02,Geothermal,15.84
2020-02-02,Hydro,69.606
2020-02-02,Photovoltaic,35.135
2020-02-02,Wind,76.78999999999999
2020-02-03,Biomass,55.378
2020-02-03,Geothermal,15.770000000000001
2020-02-03,Hydro,87.452
2020-02-03,Photovoltaic,36.707
2020-02-03,Wind,100.517
2020-02-04,Biomass,52.346000000000004
2020-02-04,Geothermal,15.91
2020-02-04,Hydro,114.629
2020-02-04,Photovoltaic,47.109
2020-02-04,Wind,145.73
2020-02-05,Biomass,53.848
2020-02-05,Geothermal,16.25
2020-02-05,Hydro,108.749
2020-02-05,Photovoltaic,57.037
2020-02-05,Wind,154.362
2020-02-06,Biomass,54.49
2020-02-06,Geothermal,16.310000000000002
2020-02-06,Hydro,108.611
2020-02-06,Photovoltaic,61.245000000000005
2020-02-06,Wind,134.742
2020-02-07,Biomass,56.347
2020-02-07,Geothermal,16.03
2020-02-07,Hydro,122.668
2020-02-07,Photovoltaic,68.856
2020-02-07,Wind,52.336
2020-02-08,Biomass,47.723
2020-02-08,Geothermal,15.950000000000001
2020-02-08,Hydro,81.03
2020-02-08,Photovoltaic,62.503
2020-02-08,Wind,10.195
2020-02-09,Biomass,42.443
2020-02-09,Geothermal,15.920000000000002
2020-02-09,Hydro,68.235
2020-02-09,Photovoltaic,50.412
2020-02-09,Wind,39.14
2020-02-10,Biomass,50.693
2020-02-10,Geothermal,15.5
2020-02-10,Hydro,102.024
2020-02-10,Photovoltaic,32.980000000000004
2020-02-10,Wind,132.019
2020-02-11,Biomass,51.214999999999996
2020-02-11,Geothermal,15.530000000000001
2020-02-11,Hydro,99.427
2020-02-11,Photovoltaic,59.733
2020-02-11,Wind,138.606
2020-02-12,Biomass,55.486
2020-02-12,Geothermal,15.870000000000001
2020-02-12,Hydro,93.71
2020-02-12,Photovoltaic,65.757
2020-02-12,Wind,71.609
2020-02-13,Biomass,59.056
2020-02-13,Geothermal,16.18
2020-02-13,Hydro,88.779
2020-02-13,Photovoltaic,53.988
2020-02-13,Wind,46.744
2020-02-14,Biomass,51.227
2020-02-14,Geothermal,16.11
2020-02-14,Hydro,94.074
2020-02-14,Photovoltaic,56.592
2020-02-14,Wind,123.362
2020-02-15,Biomass,38.976
2020-02-15,Geothermal,16.080000000000002
2020-02-15,Hydro,83.332
2020-02-15,Photovoltaic,71.329
2020-02-15,Wind,76.423
2020-02-16,Biomass,37.859
2020-02-16,Geothermal,16.080000000000002
2020-02-16,Hydro,71.056
2020-02-16,Photovoltaic,61.004999999999995
2020-02-16,Wind,7.343
2020-02-17,Biomass,51.629
2020-02-17,Geothermal,15.41
2020-02-17,Hydro,96.392
2020-02-17,Photovoltaic,53.993
2020-02-17,Wind,31.297
2020-02-18,Biomass,55.84
2020-02-18,Geothermal,15.25
2020-02-18,Hydro,90.574
2020-02-18,Photovoltaic,51.246
2020-02-18,Wind,53.0
2020-02-19,Biomass,57.133
2020-02-19,Geothermal,15.36
2020-02-19,Hydro,99.719
2020-02-19,Photovoltaic,53.854
2020-02-19,Wind,66.95
2020-02-20,Biomass,52.928
2020-02-20,Geothermal,15.36
2020-02-20,Hydro,98.564
2020-02-20,Photovoltaic,71.439
2020-02-20,Wind,105.128
2020-02-21,Biomass,54.537
2020-02-21,Geothermal,15.370000000000001
2020-02-21,Hydro,97.089
2020-02-21,Photovoltaic,73.2
2020-02-21,Wind,39.141999999999996
2020-02-22,Biomass,43.551
2020-02-22,Geothermal,15.36
2020-02-22,Hydro,80.348
2020-02-22,Photovoltaic,74.681
2020-02-22,Wind,63.652
2020-02-23,Biomass,38.657
2020-02-23,Geothermal,16.03
2020-02-23,Hydro,55.475
2020-02-23,Photovoltaic,58.197
2020-02-23,Wind,69.511
2020-02-24,Biomass,49.633
2020-02-24,Geothermal,16.19
2020-02-24,Hydro,91.292
2020-02-24,Photovoltaic,70.32
2020-02-24,Wind,74.123
2020-02-25,Biomass,51.702
2020-02-25,Geothermal,16.09
2020-02-25,Hydro,89.17999999999999
2020-02-25,Photovoltaic,51.371
2020-02-25,Wind,102.542
2020-02-26,Biomass,49.091
2020-02-26,Geothermal,16.18
2020-02-26,Hydro,92.03
2020-02-26,Photovoltaic,55.225
2020-02-26,Wind,143.203
2020-02-27,Biomass,51.039
2020-02-27,Geothermal,16.16
2020-02-27,Hydro,102.885
2020-02-27,Photovoltaic,69.576
2020-02-27,Wind,109.44
2020-02-28,Biomass,46.51
2020-02-28,Geothermal,16.28
2020-02-28,Hydro,92.92699999999999
2020-02-28,Photovoltaic,74.619
2020-02-28,Wind,122.325
2020-02-29,Biomass,41.806
2020-02-29,Geothermal,16.200000000000003
2020-02-29,Hydro,65.872
2020-02-29,Photovoltaic,54.911
2020-02-29,Wind,52.400999999999996
2020-03-01,Biomass,42.438
2020-03-01,Geothermal,16.080000000000002
2020-03-01,Hydro,67.35
2020-03-01,Photovoltaic,27.798
2020-03-01,Wind,110.112
2020-03-02,Biomass,65.156
2020-03-02,Geothermal,15.99
2020-03-02,Hydro,110.094
2020-03-02,Photovoltaic,28.357
2020-03-02,Wind,127.532
2020-03-03,Biomass,59.833
2020-03-03,Geothermal,16.19
2020-03-03,Hydro,119.407
2020-03-03,Photovoltaic,48.155
2020-03-03,Wind,133.853
2020-03-04,Biomass,62.112
2020-03-04,Geothermal,16.290000000000003
2020-03-04,Hydro,122.761
2020-03-04,Photovoltaic,63.657
2020-03-04,Wind,47.353
2020-03-05,Biomass,63.756
2020-03-05,Geothermal,16.23
2020-03-05,Hydro,131.512
2020-03-05,Photovoltaic,53.672
2020-03-05,Wind,59.526
2020-03-06,Biomass,57.728
2020-03-06,Geothermal,16.130000000000003
2020-03-06,Hydro,106.511
2020-03-06,Photovoltaic,54.045
2020-03-06,Wind,117.67
2020-03-07,Biomass,47.953
2020-03-07,Geothermal,16.23
2020-03-07,Hydro,93.207
